Name,Price,Rating,ROM,DISPLAY,CAMERA,PROCESSOR
"APPLE iPhone 15 (Black, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Midnight, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Starlight, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Blue, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Blue, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Green, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Pink, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹66,999",4.6,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Blue, 128 GB)","₹82,999",4.7,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Purple, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 12 (Blue, 64 GB)","₹42,999",4.6,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹66,999",4.6,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Black, 128 GB)","₹82,999",4.7,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹66,999",4.6,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 12 (White, 64 GB)","₹42,999",4.6,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹66,999",4.6,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Yellow, 128 GB)","₹59,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 12 (Blue, 128 GB)","₹48,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 (Black, 64 GB)","₹42,999",4.6,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 (Blue, 256 GB)","₹68,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Pink, 128 GB)","₹82,999",4.7,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Starlight, 256 GB)","₹68,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 12 (Green, 64 GB)","₹43,999",4.6,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 (Yellow, 128 GB)","₹73,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Natural Titanium, 128 GB)","₹1,30,990",4.7,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 11 (White, 64 GB)","₹43,900",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 (Midnight, 128 GB)","₹52,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (Blue Titanium, 128 GB)","₹1,30,990",4.7,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Black Titanium, 256 GB)","₹1,40,990",4.7,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 (Pink, 256 GB)","₹82,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 11 (Black, 64 GB)","₹43,900",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 15 Plus (Pink, 256 GB)","₹92,999",4.7,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 13 (Pink, 128 GB)","₹52,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (White Titanium, 128 GB)","₹1,30,990",4.7,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 14 (Purple, 256 GB)","₹68,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Black Titanium, 128 GB)","₹1,30,990",4.7,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (Natural Titanium, 256 GB)","₹1,56,900",4.7,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 14 (Midnight, 256 GB)","₹68,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Blue, 256 GB)","₹82,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Yellow, 128 GB)","₹82,999",4.7,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (Natural Titanium, 512 GB)","₹1,76,900",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 13 Pro Max (Gold, 1 TB)","₹1,79,900",4.6,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (White Titanium, 256 GB)","₹1,40,990",4.7,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (White Titanium, 256 GB)","₹1,56,900",4.7,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (Black Titanium, 256 GB)","₹1,56,900",4.7,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Blue, 512 GB)","₹1,12,999",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Blue Titanium, 256 GB)","₹1,40,990",4.7,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (Blue Titanium, 1 TB)","₹1,96,900",4.7,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 12 (White, 256 GB)","₹63,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 Pro Max (Blue Titanium, 256 GB)","₹1,56,900",4.7,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Natural Titanium, 256 GB)","₹1,40,990",4.7,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 14 ((PRODUCT)RED, 512 GB)","₹88,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Blue, 512 GB)","₹88,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 11 (Black, 128 GB)","₹48,900",4.6,128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 15 Pro (Natural Titanium, 512 GB)","₹1,61,990",4.7,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","₹1,79,900",4.6,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 13 Pro Max (Silver, 1 TB)","₹1,79,900",4.6,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (White Titanium, 512 GB)","₹1,61,990",4.7,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone SE (White, 64 GB)","₹39,900",4.5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera, | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 12 (Purple, 256 GB)","₹63,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 (Midnight, 512 GB)","₹88,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Blue Titanium, 1 TB)","₹1,80,990",4.7,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 13 Pro (Gold, 512 GB)","₹1,49,900",4.7,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 14 (Starlight, 512 GB)","₹88,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 13 (Starlight, 512 GB)","₹82,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 12 (White, 128 GB)","₹49,999",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 13 (Blue, 256 GB)","₹62,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Plus (Pink, 512 GB)","₹1,12,999",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 14 (Purple, 512 GB)","₹88,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","₹1,59,900",4.6,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro Max (Black Titanium, 512 GB)","₹1,76,900",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)","₹1,79,900",4.6,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro Max (Black Titanium, 1 TB)","₹1,96,900",4.7,1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 (Black, 512 GB)","₹1,02,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (White Titanium, 512 GB)","₹1,76,900",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)","₹82,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 11 (Red, 64 GB)","₹43,900",4.6,64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 (Blue, 512 GB)","₹82,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 (Blue, 512 GB)","₹1,02,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 (Pink, 512 GB)","₹1,02,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Green, 512 GB)","₹1,12,999",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro Max (Blue Titanium, 512 GB)","₹1,76,900",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Plus (Yellow, 512 GB)","₹1,12,999",4.7,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Natural Titanium, 1 TB)","₹1,80,990",4.7,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 (Black, 256 GB)","₹82,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (White Titanium, 1 TB)","₹1,80,990",4.7,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 12 (Blue, 256 GB)","₹63,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 (Yellow, 512 GB)","₹1,02,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)","₹1,09,900",4.7,64 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 15 Pro (Black Titanium, 1 TB)","₹1,80,990",4.7,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 Pro (Black Titanium, 512 GB)","₹1,61,990",4.7,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 15 (Green, 512 GB)","₹1,02,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor"
"APPLE iPhone 13 (Green, 512 GB)","₹82,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 12 (Black, 256 GB)","₹63,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 13 (Midnight, 512 GB)","₹82,999",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (Blue Titanium, 512 GB)","₹1,61,990",4.7,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor"
"APPLE iPhone 6 Plus (Silver, 64 GB)","₹48,999",4.5,64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,8MP Rear Camera,
"APPLE iPhone 8 (Silver, 64 GB)","₹39,900",4.5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera," | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 5s (Silver, 16 GB)","₹25,000",4.4,16 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera,
"APPLE iPhone XS Max (Space Grey, 64 GB)","₹1,09,900",4.6,64 GB ROM,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 14 (Yellow, 256 GB)","₹68,999",4.6,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor"
"APPLE iPhone 5s (Space Grey, 16 GB)","₹25,000",4.4,16 GB ROM,10.16 cm (4 inch) Retina Display,8MP Rear Camera,
"APPLE iPhone 8 (Silver, 256 GB)","₹77,000",4.5,256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera," | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 (Space Grey, 256 GB)","₹77,000",4.5,256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera," | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 (Gold, 256 GB)","₹77,000",4.5,256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera," | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 Plus (Silver, 64 GB)","₹49,900",4.6,64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 Plus (Space Grey, 64 GB)","₹49,900",4.6,64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 Plus (Space Grey, 256 GB)","₹84,900",4.6,256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 Plus (Silver, 256 GB)","₹84,900",4.6,256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 (Gold, 64 GB)","₹39,900",4.5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera," | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 8 Plus (Gold, 64 GB)","₹49,900",4.6,64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 6 (Gold, 32 GB)","₹30,780",4.4,32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera,
"APPLE iPhone 7 Plus (Gold, 128 GB)","₹42,900",4.5,128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,
"APPLE iPhone 6s Plus (Space Grey, 16 GB)","₹72,000",4.4,16 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera,
"APPLE iPhone 6s Plus (Gold, 32 GB)","₹34,900",4.4,32 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera,
"APPLE iPhone 6 (Space Grey, 16 GB)","₹52,000",4.4,16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera,
